,0
moby,84
dick,84
or,689
the,14167
whale,1141
by,1175
herman,1
melville,1
chapter,172
loomings,1
call,54
me,626
ishmael,20
some,608
years,93
ago,35
never,203
mind,81
how,251
long,328
precisely,27
having,64
little,247
no,579
money,12
in,4077
my,584
purse,7
and,6325
nothing,114
particular,49
to,4539
interest,17
on,1040
shore,22
i,2107
thought,149
would,426
sail,100
about,308
a,4634
see,268
watery,25
part,149
of,6469
world,171
it,2494
is,1689
way,269
have,754
driving,9
off,217
spleen,1
regulating,1
circulation,1
whenever,15
find,54
myself,67
growing,9
grim,11
mouth,56
damp,9
drizzly,1
november,1
soul,83
involuntarily,12
pausing,10
before,295
coffin,51
warehouses,2
bringing,10
up,508
rear,22
every,225
funeral,5
meet,18
especially,44
hypos,1
get,95
such,367
an,590
upper,31
hand,213
that,3026
requires,6
strong,34
moral,3
principle,9
prevent,5
from,1072
deliberately,8
stepping,7
into,517
street,12
methodically,3
knocking,7
people,45
s,1731
hats,4
then,627
account,32
high,106
time,332
sea,437
as,1719
soon,129
can,233
this,1378
substitute,3
for,1593
pistol,6
ball,11
with,1691
philosophical,1
flourish,3
cato,1
throws,3
himself,203
upon,561
his,2493
sword,24
quietly,18
take,130
ship,509
there,848
surprising,7
if,475
they,647
but,1805
knew,43
almost,194
all,1514
men,243
their,604
degree,26
other,410
cherish,9
very,319
nearly,33
same,212
feelings,6
towards,113
ocean,71
now,779
your,241
insular,4
city,14
manhattoes,1
belted,3
round,244
wharves,5
indian,56
isles,17
coral,7
reefs,1
commerce,6
surrounds,2
her,330
surf,5
right,145
left,67
streets,15
you,878
waterward,2
its,371
extreme,13
downtown,1
battery,3
where,217
noble,43
mole,3
washed,4
waves,47
cooled,2
breezes,4
which,625
few,93
hours,42
previous,35
were,676
out,525
sight,105
land,77
look,203
at,1304
crowds,5
water,182
gazers,1
circumambulate,1
dreamy,4
sabbath,4
afternoon,9
go,190
corlears,1
hook,18
coenties,1
slip,4
thence,7
whitehall,1
northward,3
what,609
do,298
posted,3
like,639
silent,26
sentinels,1
around,35
town,35
stand,105
thousands,16
mortal,40
fixed,37
reveries,6
leaning,28
against,133
spiles,1
seated,27
pier,1
heads,85
looking,70
over,403
bulwarks,37
ships,86
china,9
aloft,61
rigging,34
striving,10
still,312
better,62
seaward,2
peep,8
these,393
are,586
landsmen,10
week,5
days,80
pent,2
lath,1
plaster,3
tied,12
counters,1
nailed,11
benches,2
clinched,3
desks,1
green,53
fields,8
gone,57
here,316
come,177
more,501
pacing,11
straight,46
seemingly,9
bound,28
dive,8
strange,98
will,382
content,18
them,465
extremest,2
limit,5
loitering,1
under,119
shady,1
lee,19
yonder,18
not,1143
suffice,2
must,281
just,117
nigh,44
possibly,30
without,153
falling,12
miles,29
leagues,10
inlanders,1
lanes,1
alleys,1
avenues,3
north,14
east,22
south,27
west,16
yet,345
unite,6
tell,134
does,95
magnetic,7
virtue,20
needles,11
compasses,10
those,303
attract,1
thither,10
once,146
say,241
country,23
lakes,3
any,323
path,9
please,12
ten,46
one,907
carries,16
down,375
dale,1
leaves,19
pool,5
stream,10
magic,9
let,155
most,276
absent,10
minded,6
be,1031
plunged,9
deepest,6
man,525
legs,36
set,74
feet,123
going,89
he,1872
infallibly,11
lead,17
region,4
should,179
ever,202
athirst,3
great,292
american,33
desert,8
try,53
experiment,4
caravan,2
happen,8
supplied,10
metaphysical,2
professor,4
yes,75
knows,28
meditation,4
wedded,5
artist,4
desires,4
paint,5
dreamiest,1
shadiest,1
quietest,1
enchanting,1
bit,26
romantic,7
landscape,3
valley,6
saco,1
chief,37
element,10
employs,2
trees,14
each,127
hollow,20
trunk,17
hermit,3
crucifix,1
within,77
sleeps,5
meadow,6
sleep,46
cattle,6
cottage,2
goes,54
sleepy,8
smoke,30
deep,67
distant,21
woodlands,2
winds,21
mazy,1
reaching,12
overlapping,2
spurs,2
mountains,13
bathed,2
hill,17
side,206
blue,45
though,382
picture,19
lies,20
thus,132
tranced,3
pine,11
tree,20
shakes,4
sighs,2
shepherd,2
head,337
vain,30
unless,29
eye,87
him,1054
visit,10
prairies,6
june,2
when,601
scores,4
wade,3
knee,8
among,163
tiger,11
lilies,2
charm,7
wanting,11
drop,25
niagara,2
cataract,2
sand,11
travel,6
thousand,50
why,119
did,254
poor,111
poet,2
tennessee,1
suddenly,49
receiving,13
two,291
handfuls,4
silver,13
deliberate,5
whether,88
buy,3
coat,27
sadly,12
needed,7
invest,6
pedestrian,2
trip,4
rockaway,1
beach,18
robust,3
healthy,5
boy,65
crazy,14
first,231
voyage,96
passenger,6
yourself,26
feel,56
mystical,9
vibration,5
told,43
old,446
persians,1
hold,98
holy,20
greeks,2
give,84
separate,20
deity,4
own,203
brother,11
jove,9
surely,7
meaning,17
deeper,19
story,49
narcissus,1
who,360
because,92
could,213
grasp,5
tormenting,2
mild,28
image,11
saw,105
fountain,9
was,1627
drowned,12
we,446
ourselves,15
rivers,3
oceans,16
ungraspable,1
phantom,14
life,171
key,12
am,89
habit,3
begin,12
grow,22
hazy,1
eyes,155
conscious,8
lungs,16
mean,40
inferred,4
needs,20
rag,2
something,122
besides,48
passengers,5
sick,10
quarrelsome,1
don,138
t,286
nights,11
enjoy,5
themselves,58
much,220
general,69
thing,186
nor,156
salt,12
commodore,9
captain,327
cook,54
abandon,3
glory,18
distinction,4
offices,1
abominate,1
honorable,7
respectable,3
toils,1
trials,1
tribulations,2
kind,25
whatsoever,4
quite,41
care,14
taking,52
barques,1
brigs,3
schooners,1
confess,8
considerable,26
being,217
sort,151
officer,15
board,72
somehow,43
fancied,8
broiling,1
fowls,11
broiled,3
judiciously,2
buttered,1
judgmatically,1
salted,6
peppered,1
speak,51
respectfully,4
reverentially,1
fowl,10
than,302
idolatrous,1
dotings,1
egyptians,4
ibis,1
roasted,1
river,7
horse,26
mummies,2
creatures,33
huge,28
bake,1
houses,9
pyramids,3
simple,11
sailor,81
mast,125
plumb,1
forecastle,36
royal,27
true,84
rather,72
order,61
make,110
jump,18
spar,9
grasshopper,2
may,236
unpleasant,2
enough,76
touches,2
sense,14
honor,24
particularly,8
established,3
family,12
van,5
rensselaers,1
randolphs,1
hardicanutes,1
putting,16
tar,9
pot,10
been,408
lording,1
schoolmaster,6
making,45
tallest,1
boys,35
awe,14
transition,5
keen,16
assure,5
decoction,1
seneca,1
stoics,1
enable,4
grin,7
bear,37
even,188
wears,6
hunks,3
orders,24
broom,3
sweep,13
decks,21
indignity,2
amount,6
weighed,3
scales,6
new,97
testament,1
think,121
archangel,8
gabriel,19
thinks,20
anything,43
less,51
promptly,1
obey,7
instance,18
ain,22
slave,11
well,227
however,94
captains,24
thump,5
punch,6
satisfaction,4
knowing,16
everybody,7
else,46
served,10
either,37
physical,4
point,71
view,45
so,1053
universal,8
passed,42
hands,128
rub,1
shoulder,12
blades,8
again,262
always,80
paying,3
trouble,10
whereas,17
pay,18
single,39
penny,4
heard,110
contrary,12
difference,18
between,120
paid,7
act,30
perhaps,88
uncomfortable,3
infliction,1
orchard,2
thieves,2
entailed,2
us,223
_being,1
paid_,1
compare,5
urbane,1
activity,9
receives,3
really,30
marvellous,15
considering,31
earnestly,7
believe,27
root,3
earthly,16
ills,1
monied,1
enter,9
heaven,50
ah,23
cheerfully,2
consign,1
perdition,3
finally,26
wholesome,2
exercise,3
pure,9
air,139
fore,24
castle,5
deck,196
far,163
prevalent,1
astern,29
violate,1
pythagorean,1
maxim,3
quarter,47
gets,4
atmosphere,5
second,59
sailors,52
breathes,6
commonalty,1
leaders,2
many,162
things,130
suspect,3
wherefore,13
after,268
repeatedly,3
smelt,3
merchant,19
whaling,125
invisible,16
police,1
fates,6
has,287
constant,5
surveillance,1
secretly,2
dogs,8
influences,7
unaccountable,16
answer,25
doubtless,12
formed,22
grand,52
programme,1
providence,3
drawn,26
came,127
brief,10
interlude,4
solo,1
